timestamp,scan_idx,meas_idx,angle_deg,distance_mm,quality,x_mm,y_mm
2025-11-07T13:19:04.960Z,0,0,0.172,1802.2,15,1802.2,5.4
2025-11-07T13:19:04.960Z,0,1,1.375,1808.8,15,1808.2,43.4
2025-11-07T13:19:04.960Z,0,2,2.672,1748.5,15,1746.6,81.5
2025-11-07T13:19:04.960Z,0,3,6.109,3460.2,15,3440.6,368.3
2025-11-07T13:19:04.960Z,0,4,7.375,3549.5,15,3520.1,455.6
2025-11-07T13:19:04.960Z,0,5,8.641,3557.8,15,3517.4,534.5
2025-11-07T13:19:04.960Z,0,6,9.922,3583.8,15,3530.2,617.5
2025-11-07T13:19:04.960Z,0,7,11.156,3611.2,15,3543.0,698.7
2025-11-07T13:19:04.960Z,0,8,12.453,3613.5,15,3528.5,779.2
2025-11-07T13:19:04.960Z,0,9,13.703,3646.5,15,3542.7,863.8
2025-11-07T13:19:04.960Z,0,10,14.969,3693.8,15,3568.4,954.1
2025-11-07T13:19:04.960Z,0,11,16.250,3712.8,15,3564.4,1038.9
2025-11-07T13:19:04.960Z,0,12,17.500,3730.8,15,3558.1,1121.9
2025-11-07T13:19:04.960Z,0,13,18.797,3772.2,15,3571.1,1215.5
2025-11-07T13:19:04.960Z,0,14,20.062,3695.0,15,3470.8,1267.6
2025-11-07T13:19:04.960Z,0,15,21.312,3836.5,15,3574.1,1394.4
2025-11-07T13:19:04.960Z,0,16,22.594,3889.0,15,3590.5,1494.1
2025-11-07T13:19:04.960Z,0,17,23.844,3883.5,12,3552.0,1569.9
2025-11-07T13:19:04.960Z,0,18,25.125,3948.8,12,3575.1,1676.6
2025-11-07T13:19:04.960Z,0,19,26.406,3983.5,12,3567.9,1771.6
2025-11-07T13:19:04.960Z,0,20,28.000,2146.0,13,1894.8,1007.5
2025-11-07T13:19:04.960Z,0,21,29.297,1962.2,15,1711.3,960.2
2025-11-07T13:19:04.960Z,0,22,30.578,1895.0,15,1631.5,964.0
2025-11-07T13:19:04.960Z,0,23,31.906,1840.5,15,1562.4,972.8
2025-11-07T13:19:04.960Z,0,24,33.188,1782.0,15,1491.3,975.4
2025-11-07T13:19:04.960Z,0,25,34.516,1727.5,15,1423.4,978.9
2025-11-07T13:19:04.960Z,0,26,35.922,1681.0,15,1361.3,986.2
2025-11-07T13:19:04.960Z,0,27,37.188,1646.8,15,1311.9,995.3
2025-11-07T13:19:04.960Z,0,28,38.484,1597.8,15,1250.7,994.3
2025-11-07T13:19:04.960Z,0,29,39.781,1567.2,15,1204.4,1002.8
2025-11-07T13:19:04.960Z,0,30,41.078,1526.2,15,1150.5,1002.9
2025-11-07T13:19:04.960Z,0,31,42.422,1496.2,15,1104.5,1009.3
2025-11-07T13:19:04.960Z,0,32,43.656,1464.8,15,1059.7,1011.2
2025-11-07T13:19:04.960Z,0,33,44.969,1437.0,15,1016.7,1015.6
2025-11-07T13:19:04.960Z,0,34,46.234,1407.8,15,973.8,1016.6
2025-11-07T13:19:04.960Z,0,35,47.531,1385.0,15,935.1,1021.6
2025-11-07T13:19:04.960Z,0,36,48.875,1363.0,15,896.5,1026.7
2025-11-07T13:19:04.960Z,0,37,50.109,1410.0,9,904.3,1081.9
2025-11-07T13:19:04.960Z,0,38,51.234,1595.2,15,998.8,1243.8
2025-11-07T13:19:04.960Z,0,39,52.547,1569.8,15,954.6,1246.1
2025-11-07T13:19:04.960Z,0,40,53.859,1551.8,15,915.2,1253.1
2025-11-07T13:19:04.960Z,0,41,55.141,1528.8,15,873.8,1254.4
2025-11-07T13:19:04.960Z,0,42,56.391,1514.2,15,838.2,1261.1
2025-11-07T13:19:04.960Z,0,43,57.703,1493.5,15,798.0,1262.4
2025-11-07T13:19:04.960Z,0,44,59.016,1478.2,15,761.0,1267.3
